matchday,position,team_name,playedGames
8,18,Levante UD,8
8,19,Deportivo Alavés,8
8,20,Getafe CF,8
9,1,Real Madrid CF,9
9,2,Real Sociedad de Fútbol,9
9,3,Sevilla FC,9
9,4,Club Atlético de Madrid,9
9,5,CA Osasuna,9
9,6,FC Barcelona,9
9,7,Rayo Vallecano de Madrid,9
9,8,Real Betis Balompié,9
9,9,Villarreal CF,9
9,10,Athletic Club,9
9,11,Valencia CF,9
9,12,RCD Espanyol de Barcelona,9
9,13,RCD Mallorca,9
9,14,Elche CF,9
9,15,Granada CF,9
9,16,RC Celta de Vigo,9
9,17,Cádiz CF,9
9,18,Levante UD,9
9,19,Deportivo Alavés,9
9,20,Getafe CF,9
10,1,Real Madrid CF,10
10,2,Sevilla FC,10
10,3,Real Sociedad de Fútbol,10
10,4,Real Betis Balompié,10
10,5,Club Atlético de Madrid,10
10,6,CA Osasuna,10
10,7,Rayo Vallecano de Madrid,10
10,8,FC Barcelona,10
10,9,Athletic Club,10
10,10,Villarreal CF,10
10,11,Valencia CF,10
10,12,RCD Espanyol de Barcelona,10
10,13,RCD Mallorca,10
10,14,RC Celta de Vigo,10
10,15,Elche CF,10
10,16,Granada CF,10
10,17,Cádiz CF,10
10,18,Deportivo Alavés,10
10,19,Levante UD,10
10,20,Getafe CF,10
11,1,Real Madrid CF,11
11,2,Real Sociedad de Fútbol,11
11,3,Sevilla FC,11
11,4,Real Betis Balompié,11
11,5,Rayo Vallecano de Madrid,11
11,6,Club Atlético de Madrid,11
11,7,CA Osasuna,11
11,8,Athletic Club,11
11,9,FC Barcelona,11
11,10,Villarreal CF,11
11,11,RCD Espanyol de Barcelona,11
11,12,Valencia CF,11
11,13,RCD Mallorca,11
11,14,Granada CF,11
11,15,RC Celta de Vigo,11
11,16,Elche CF,11
11,17,Deportivo Alavés,11
11,18,Cádiz CF,11
11,19,Levante UD,11
11,20,Getafe CF,11
12,1,Real Madrid CF,12
12,2,Sevilla FC,12
12,3,Real Sociedad de Fútbol,12
12,4,Club Atlético de Madrid,12
12,5,Real Betis Balompié,12
12,6,Rayo Vallecano de Madrid,12
12,7,CA Osasuna,12
12,8,Athletic Club,12
12,9,FC Barcelona,12
12,10,Valencia CF,12
12,11,Villarreal CF,12
12,12,RCD Espanyol de Barcelona,12
12,13,Granada CF,12
12,14,RCD Mallorca,12
12,15,RC Celta de Vigo,12
12,16,Elche CF,12
12,17,Deportivo Alavés,12
12,18,Cádiz CF,12
12,19,Levante UD,12
12,20,Getafe CF,12
13,1,Real Madrid CF,13
13,2,Sevilla FC,13
13,3,Real Sociedad de Fútbol,13
13,4,Club Atlético de Madrid,13
13,5,Real Betis Balompié,13
13,6,Rayo Vallecano de Madrid,13
13,7,CA Osasuna,13
13,8,Villarreal CF,13
13,9,FC Barcelona,13
13,10,Athletic Club,13
13,11,Valencia CF,13
13,12,RCD Espanyol de Barcelona,13
13,13,RCD Mallorca,13
13,14,Granada CF,13
13,15,Deportivo Alavés,13
13,16,RC Celta de Vigo,13
13,17,Cádiz CF,13
13,18,Elche CF,13
13,19,Levante UD,13
13,20,Getafe CF,13
14,1,Real Madrid CF,14
14,2,Sevilla FC,14
14,3,Real Sociedad de Fútbol,14
14,4,Club Atlético de Madrid,14
14,5,Real Betis Balompié,14
14,6,Rayo Vallecano de Madrid,14
14,7,FC Barcelona,14
14,8,Villarreal CF,14
14,9,Athletic Club,14
14,10,CA Osasuna,14
14,11,Valencia CF,14
14,12,RCD Espanyol de Barcelona,14
14,13,RCD Mallorca,14
14,14,Granada CF,14
14,15,Deportivo Alavés,14
14,16,RC Celta de Vigo,14
14,17,Cádiz CF,14
14,18,Elche CF,14
14,19,Getafe CF,14
14,20,Levante UD,14
15,1,Real Madrid CF,15
15,2,Sevilla FC,15
15,3,Club Atlético de Madrid,15
15,4,Real Sociedad de Fútbol,15
15,5,Real Betis Balompié,15
15,6,FC Barcelona,15
15,7,Rayo Vallecano de Madrid,15
15,8,Athletic Club,15
15,9,RCD Espanyol de Barcelona,15
15,10,CA Osasuna,15
15,11,Villarreal CF,15
15,12,Valencia CF,15
15,13,RC Celta de Vigo,15
15,14,RCD Mallorca,15
15,15,Granada CF,15
15,16,Deportivo Alavés,15
15,17,Elche CF,15
15,18,Cádiz CF,15
15,19,Getafe CF,15
15,20,Levante UD,15
16,1,Real Madrid CF,16
16,2,Sevilla FC,16
16,3,Real Betis Balompié,16
16,4,Club Atlético de Madrid,16
16,5,Real Sociedad de Fútbol,16
16,6,Rayo Vallecano de Madrid,16
16,7,FC Barcelona,16
16,8,Valencia CF,16
16,9,Athletic Club,16
16,10,CA Osasuna,16
16,11,RCD Espanyol de Barcelona,16
16,12,Villarreal CF,16
16,13,RCD Mallorca,16
16,14,Granada CF,16
16,15,RC Celta de Vigo,16
16,16,Elche CF,16
16,17,Deportivo Alavés,16
16,18,Cádiz CF,16
16,19,Getafe CF,16
16,20,Levante UD,16
17,1,Real Madrid CF,17
17,2,Sevilla FC,17
17,3,Real Betis Balompié,17
17,4,Club Atlético de Madrid,17
17,5,Real Sociedad de Fútbol,17
17,6,Rayo Vallecano de Madrid,17
17,7,FC Barcelona,17
17,8,Valencia CF,17
17,9,RCD Espanyol de Barcelona,17
17,10,Villarreal CF,17
17,11,CA Osasuna,17
17,12,Athletic Club,17
17,13,RCD Mallorca,17
17,14,Granada CF,17
17,15,RC Celta de Vigo,17
17,16,Elche CF,17
17,17,Deportivo Alavés,17
17,18,Cádiz CF,17
17,19,Getafe CF,17
17,20,Levante UD,17
18,1,Real Madrid CF,18
18,2,Sevilla FC,18
18,3,Real Betis Balompié,18
18,4,Rayo Vallecano de Madrid,18
18,5,Club Atlético de Madrid,18
18,6,Real Sociedad de Fútbol,18
18,7,FC Barcelona,18
18,8,Valencia CF,18
18,9,Villarreal CF,18
18,10,Athletic Club,18
18,11,RCD Espanyol de Barcelona,18
18,12,Granada CF,18
18,13,CA Osasuna,18
18,14,RC Celta de Vigo,18
18,15,RCD Mallorca,18
18,16,Getafe CF,18
18,17,Elche CF,18
18,18,Deportivo Alavés,18
18,19,Cádiz CF,18
18,20,Levante UD,18
19,1,Real Madrid CF,19
19,2,Sevilla FC,19
19,3,Real Betis Balompié,19
19,4,Club Atlético de Madrid,19
19,5,FC Barcelona,19
19,6,Rayo Vallecano de Madrid,19
19,7,Real Sociedad de Fútbol,19
19,8,Villarreal CF,19
19,9,Valencia CF,19
19,10,Athletic Club,19
19,11,RCD Espanyol de Barcelona,19
19,12,RC Celta de Vigo,19
19,13,Granada CF,19
19,14,CA Osasuna,19
19,15,RCD Mallorca,19
19,16,Getafe CF,19
19,17,Elche CF,19
19,18,Deportivo Alavés,19
19,19,Cádiz CF,19
19,20,Levante UD,19
20,1,Real Madrid CF,20
20,2,Sevilla FC,20
20,3,Real Betis Balompié,20
20,4,Club Atlético de Madrid,20
20,5,Real Sociedad de Fútbol,20
20,6,FC Barcelona,20
20,7,Rayo Vallecano de Madrid,20
20,8,Villarreal CF,20
20,9,Athletic Club,20
20,10,Valencia CF,20
20,11,RCD Espanyol de Barcelona,20
20,12,CA Osasuna,20
20,13,Granada CF,20
20,14,RC Celta de Vigo,20
20,15,RCD Mallorca,20
20,16,Elche CF,20
20,17,Getafe CF,20
20,18,Deportivo Alavés,20
20,19,Cádiz CF,20
20,20,Levante UD,20
21,1,Real Madrid CF,21
21,2,Sevilla FC,21
21,3,Real Betis Balompié,21
21,4,Real Sociedad de Fútbol,21
21,5,Rayo Vallecano de Madrid,21
21,6,Club Atlético de Madrid,21
21,7,FC Barcelona,21
21,8,Villarreal CF,21
21,9,Valencia CF,21
21,10,Athletic Club,21
21,11,RCD Espanyol de Barcelona,21
21,12,RC Celta de Vigo,21
21,13,CA Osasuna,21
21,14,Granada CF,21
21,15,Elche CF,21
21,16,Getafe CF,21
21,17,RCD Mallorca,21
21,18,Deportivo Alavés,21
21,19,Cádiz CF,21
21,20,Levante UD,21
22,1,Real Madrid CF,22
22,2,Sevilla FC,22
22,3,Real Betis Balompié,22
22,4,Real Sociedad de Fútbol,22
22,5,Club Atlético de Madrid,22
22,6,FC Barcelona,22
22,7,Rayo Vallecano de Madrid,22
22,8,Villarreal CF,22
22,9,Athletic Club,22
22,10,Valencia CF,22
22,11,CA Osasuna,22
22,12,RC Celta de Vigo,22
22,13,RCD Espanyol de Barcelona,22
22,14,Granada CF,22
22,15,Elche CF,22
22,16,Getafe CF,22
22,17,RCD Mallorca,22
22,18,Cádiz CF,22
22,19,Deportivo Alavés,22
22,20,Levante UD,22
23,1,Real Madrid CF,23
23,2,Sevilla FC,23
23,3,Real Betis Balompié,23
23,4,FC Barcelona,23
23,5,Real Sociedad de Fútbol,23
23,6,Club Atlético de Madrid,23
23,7,Villarreal CF,23
23,8,Athletic Club,23
23,9,Rayo Vallecano de Madrid,23
23,10,RC Celta de Vigo,23
23,11,Valencia CF,23
23,12,CA Osasuna,23
23,13,RCD Espanyol de Barcelona,23
23,14,Elche CF,23
23,15,Getafe CF,23
23,16,Granada CF,23
23,17,RCD Mallorca,23
23,18,Cádiz CF,23
23,19,Deportivo Alavés,23
23,20,Levante UD,23
24,1,Real Madrid CF,24
24,2,Sevilla FC,24
24,3,Real Betis Balompié,24
24,4,Real Sociedad de Fútbol,24
24,5,FC Barcelona,24
24,6,Club Atlético de Madrid,24
