matchday,position,team_name,playedGames
1,1,FC Barcelona,1
1,2,Valencia CF,1
1,3,Granada CF,1
1,4,CA Osasuna,1
1,5,Club Atlético de Madrid,1
1,6,Real Madrid CF,1
1,7,Real Betis Balompié,1
1,8,Real Valladolid CF,1
1,9,Real Sociedad de Fútbol,1
1,10,Villarreal CF,1
1,11,SD Huesca,1
1,12,SD Eibar,1
1,13,RC Celta de Vigo,1
1,14,Deportivo Alavés,1
1,15,Levante UD,1
1,16,Athletic Club,1
1,17,Cádiz CF,1
1,18,Sevilla FC,1
1,19,Getafe CF,1
1,20,Elche CF,1
1,1,FC Barcelona,1
1,2,Valencia CF,1
1,3,Granada CF,1
1,4,Club Atlético de Madrid,1
1,5,Real Madrid CF,1
1,6,Real Valladolid CF,1
1,7,Villarreal CF,1
1,8,SD Eibar,1
1,19,Deportivo Alavés,1
1,20,Cádiz CF,1
1,1,CA Osasuna,1
1,2,Real Betis Balompié,1
1,3,Real Sociedad de Fútbol,1
1,4,SD Huesca,1
1,5,RC Celta de Vigo,1
1,16,Levante UD,1
1,17,Athletic Club,1
1,18,Sevilla FC,1
1,19,Getafe CF,1
1,20,Elche CF,1
2,1,FC Barcelona,2
2,2,Granada CF,2
2,3,Real Betis Balompié,2
2,4,Club Atlético de Madrid,2
2,5,Real Madrid CF,2
2,6,Villarreal CF,2
2,7,RC Celta de Vigo,2
2,8,Valencia CF,2
2,9,CA Osasuna,2
2,10,Cádiz CF,2
2,11,Sevilla FC,2
2,12,Getafe CF,2
2,13,Real Sociedad de Fútbol,2
2,14,SD Eibar,2
2,15,Levante UD,2
2,16,Real Valladolid CF,2
2,17,SD Huesca,2
2,18,Deportivo Alavés,2
2,19,Athletic Club,2
2,20,Elche CF,2
2,1,Granada CF,2
2,2,Villarreal CF,2
2,3,CA Osasuna,2
2,20,Elche CF,2
3,1,FC Barcelona,3
3,2,Club Atlético de Madrid,3
3,3,Real Madrid CF,3
3,4,Real Betis Balompié,3
3,5,Sevilla FC,3
3,6,Granada CF,3
3,7,Real Sociedad de Fútbol,3
3,8,RC Celta de Vigo,3
3,9,Valencia CF,3
3,10,Levante UD,3
3,11,Getafe CF,3
3,12,Villarreal CF,3
3,13,CA Osasuna,3
3,14,Athletic Club,3
3,15,Cádiz CF,3
3,16,Real Valladolid CF,3
3,17,SD Huesca,3
3,18,SD Eibar,3
3,19,Deportivo Alavés,3
3,20,Elche CF,3
4,1,FC Barcelona,4
4,2,Real Madrid CF,4
4,3,Sevilla FC,4
4,4,Granada CF,4
4,5,Club Atlético de Madrid,4
4,6,Valencia CF,4
4,7,Getafe CF,4
4,8,Villarreal CF,4
4,9,Real Betis Balompié,4
4,10,Cádiz CF,4
4,11,Real Sociedad de Fútbol,4
4,12,RC Celta de Vigo,4
4,13,Levante UD,4
4,14,SD Huesca,4
4,15,Athletic Club,4
4,16,CA Osasuna,4
4,17,Elche CF,4
4,18,Real Valladolid CF,4
4,19,SD Eibar,4
4,20,Deportivo Alavés,4
5,1,FC Barcelona,5
5,2,Real Madrid CF,5
5,3,Sevilla FC,5
5,4,Granada CF,5
5,5,Club Atlético de Madrid,5
5,6,Real Betis Balompié,5
5,7,Real Sociedad de Fútbol,5
5,8,Villarreal CF,5
5,9,Valencia CF,5
5,10,Cádiz CF,5
5,11,Getafe CF,5
5,12,CA Osasuna,5
5,13,RC Celta de Vigo,5
5,14,SD Eibar,5
5,15,SD Huesca,5
5,16,Levante UD,5
5,17,Deportivo Alavés,5
5,18,Elche CF,5
5,19,Athletic Club,5
5,20,Real Valladolid CF,5
6,1,FC Barcelona,6
6,2,Real Madrid CF,6
6,3,Granada CF,6
6,4,Club Atlético de Madrid,6
6,5,Real Sociedad de Fútbol,6
6,6,Villarreal CF,6
6,7,Sevilla FC,6
6,8,Cádiz CF,6
6,9,Getafe CF,6
6,10,Real Betis Balompié,6
6,11,Valencia CF,6
6,12,CA Osasuna,6
6,13,Elche CF,6
6,14,Athletic Club,6
6,15,SD Eibar,6
6,16,SD Huesca,6
6,17,RC Celta de Vigo,6
6,18,Levante UD,6
6,19,Deportivo Alavés,6
6,20,Real Valladolid CF,6
7,1,Real Madrid CF,7
7,2,Granada CF,7
7,3,Club Atlético de Madrid,7
7,4,Real Sociedad de Fútbol,7
7,5,FC Barcelona,7
7,6,Villarreal CF,7
7,7,Cádiz CF,7
7,8,Sevilla FC,7
7,9,CA Osasuna,7
7,10,Getafe CF,7
7,11,Elche CF,7
7,12,Real Betis Balompié,7
7,13,SD Eibar,7
7,14,Valencia CF,7
7,15,Deportivo Alavés,7
7,16,Athletic Club,7
7,17,RC Celta de Vigo,7
7,18,Levante UD,7
7,19,SD Huesca,7
7,20,Real Valladolid CF,7
8,1,Real Madrid CF,8
8,2,Club Atlético de Madrid,8
8,3,Real Sociedad de Fútbol,8
8,4,Granada CF,8
8,5,Villarreal CF,8
8,6,FC Barcelona,8
8,7,Cádiz CF,8
8,8,Real Betis Balompié,8
8,9,Getafe CF,8
8,10,Sevilla FC,8
8,11,CA Osasuna,8
8,12,Elche CF,8
8,13,Athletic Club,8
8,14,Valencia CF,8
8,15,Deportivo Alavés,8
8,16,SD Eibar,8
8,17,Levante UD,8
8,18,RC Celta de Vigo,8
8,19,SD Huesca,8
8,20,Real Valladolid CF,8
9,1,Club Atlético de Madrid,9
9,2,Real Sociedad de Fútbol,9
9,3,Real Madrid CF,9
9,4,Villarreal CF,9
9,5,FC Barcelona,9
9,6,Granada CF,9
9,7,Cádiz CF,9
9,8,Sevilla FC,9
