player,team,goals
Victor Osimhen,SSC Napoli,26
Lautaro Martínez,FC Internazionale Milano,21
Boulaye Dia,US Salernitana 1919,16
Rafael Leão,AC Milan,15
Ademola Lookman,Atalanta BC,13
M'Bala Nzola,Spezia Calcio,13
Olivier Giroud,AC Milan,13
Antonio Sanabria,Torino FC,12
Ciro Immobile,SS Lazio,12
Khvicha Kvaratskhelia,SSC Napoli,12
