matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,FC Internazionale Milano,1,3,5,2,3
1,2,Genoa CFC,1,3,4,1,3
1,3,Atalanta BC,1,3,4,1,3
1,4,Juventus FC,1,3,3,0,3
1,5,SSC Napoli,1,3,2,0,2
1,6,AC Milan,1,3,2,0,2
1,7,Spezia Calcio,1,3,2,0,2
1,8,ACF Fiorentina,1,3,1,0,1
1,9,US Sassuolo Calcio,1,1,1,1,0
1,10,Cagliari Calcio,1,1,1,1,0
1,13,Torino FC,1,0,0,1,-1
1,14,Parma Calcio 1913,1,0,0,2,-2
1,15,Bologna FC 1909,1,0,0,2,-2
1,16,Udinese Calcio,1,0,0,2,-2
1,17,Benevento Calcio,1,0,2,5,-3
1,18,FC Crotone,1,0,1,4,-3
1,19,SS Lazio,1,0,1,4,-3
1,20,UC Sampdoria,1,0,0,3,-3
1,1,Genoa CFC,1,3,4,1,3
1,2,Juventus FC,1,3,3,0,3
1,3,AC Milan,1,3,2,0,2
1,4,ACF Fiorentina,1,3,1,0,1
1,5,US Sassuolo Calcio,1,1,1,1,0
1,17,Parma Calcio 1913,1,0,0,2,-2
1,18,Udinese Calcio,1,0,0,2,-2
1,19,Benevento Calcio,1,0,2,5,-3
1,20,SS Lazio,1,0,1,4,-3
1,1,FC Internazionale Milano,1,3,5,2,3
1,2,Atalanta BC,1,3,4,1,3
1,3,SSC Napoli,1,3,2,0,2
1,4,Spezia Calcio,1,3,2,0,2
1,5,Cagliari Calcio,1,1,1,1,0
1,17,Torino FC,1,0,0,1,-1
1,18,Bologna FC 1909,1,0,0,2,-2
1,19,FC Crotone,1,0,1,4,-3
1,20,UC Sampdoria,1,0,0,3,-3
2,1,SSC Napoli,2,6,8,0,8
2,2,Atalanta BC,2,6,8,3,5
2,3,FC Internazionale Milano,2,6,9,5,4
2,4,AC Milan,2,6,4,0,4
2,5,US Sassuolo Calcio,2,4,5,2,3
2,6,Juventus FC,2,4,5,2,3
2,7,Bologna FC 1909,2,3,4,3,1
2,9,ACF Fiorentina,2,3,4,4,0
2,10,SS Lazio,2,3,3,4,-1
2,11,Spezia Calcio,2,3,3,4,-1
2,12,Benevento Calcio,2,3,5,7,-2
2,13,Genoa CFC,2,3,4,7,-3
2,15,Cagliari Calcio,2,1,1,3,-2
2,16,Torino FC,2,0,2,5,-3
2,17,Udinese Calcio,2,0,0,3,-3
2,18,UC Sampdoria,2,0,2,6,-4
2,19,Parma Calcio 1913,2,0,1,6,-5
2,20,FC Crotone,2,0,1,6,-5
2,1,Atalanta BC,2,6,8,3,5
3,1,Atalanta BC,3,9,13,5,8
3,2,AC Milan,3,9,7,0,7
3,3,US Sassuolo Calcio,3,7,9,3,6
3,4,FC Internazionale Milano,3,7,10,6,4
3,5,Juventus FC,3,7,7,3,4
3,6,SSC Napoli,3,6,9,2,7
3,7,Benevento Calcio,3,6,6,7,-1
3,9,SS Lazio,3,4,4,5,-1
3,10,Bologna FC 1909,3,3,4,4,0
3,12,ACF Fiorentina,3,3,5,6,-1
3,13,Torino FC,3,3,4,6,-2
3,14,UC Sampdoria,3,3,4,7,-3
3,15,Genoa CFC,3,3,5,9,-4
3,16,Spezia Calcio,3,3,3,7,-4
3,17,Parma Calcio 1913,3,3,2,6,-4
3,18,Cagliari Calcio,3,1,3,8,-5
3,19,Udinese Calcio,3,0,0,4,-4
3,20,FC Crotone,3,0,2,10,-8
4,1,AC Milan,4,12,9,1,8
4,2,US Sassuolo Calcio,4,10,13,6,7
4,3,SSC Napoli,4,9,13,3,10
4,4,Atalanta BC,4,9,14,9,5
