id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
296854,2020-08-21T17:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 43926, 'name': 'Benoît Bastien', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43885, 'name': 'Hicham Zakrani', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43927, 'name': 'Frédéric Haquette', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57095, 'name': 'Arnaud Baert', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 15548, 'name': 'Jérôme Brisard', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,526,FC Girondins de Bordeaux,Bordeaux,BOR,https://crests.football-data.org/526.svg,543,FC Nantes,Nantes,NAN,https://crests.football-data.org/543.png,DRAW,REGULAR,0,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
296855,2020-09-17T19:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:34Z,"[{'id': 43886, 'name': 'Ruddy Buquet', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43915, 'name': 'Guillaume Debart', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57030, 'name': 'Gilles Lang', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43928, 'name': 'Jérôme Miguelgorry', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57078, 'name': 'Antony Gautier', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,516,Olympique de Marseille,Marseille,MAR,https://crests.football-data.org/516.png,527,AS Saint-Étienne,Saint-Étienne,ASS,https://crests.football-data.org/527.png,AWAY_TEAM,REGULAR,0,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
296852,2020-09-16T19:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:34Z,"[{'id': 57033, 'name': 'Mikael Lesage', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57029, 'name': 'Huseyin Ocak', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43947, 'name': 'Bertrand Jouannaud', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57062, 'name': 'Aurélien Petit', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 40486, 'name': 'Alexandre Castro', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,524,Paris Saint-Germain FC,PSG,PSG,https://crests.football-data.org/524.png,545,FC Metz,FC Metz,FCM,https://crests.football-data.org/545.svg,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
296851,2020-09-15T19:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:33Z,"[{'id': 43918, 'name': 'François Letexier', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 76689, 'name': 'Bastien Courbet', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57048, 'name': 'Mickael Annonier', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57088, 'name': 'Bastien Dechepy', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43926, 'name': 'Benoît Bastien', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,518,Montpellier HSC,Montpellier,MON,https://crests.football-data.org/518.png,523,Olympique Lyonnais,Olympique Lyon,LYO,https://crests.football-data.org/523.svg,HOME_TEAM,REGULAR,2,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
296856,2020-08-23T15:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 43928, 'name': 'Jérôme Miguelgorry', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57056, 'name': 'Christophe Mouysset', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57076, 'name': 'Alexandre Viala', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 79897, 'name': 'Aldric Chancioux', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 1049, 'name': 'Jeremy Stinat', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,522,OGC Nice,Nice,NIC,https://crests.football-data.org/522.png,546,Racing Club de Lens,RC Lens,RCL,https://crests.football-data.org/546.png,HOME_TEAM,REGULAR,2,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.
296859,2020-08-22T15:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 57092, 'name': 'Eric Wattellier', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 64762, 'name': 'Aurélien Berthomieu', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57040, 'name': 'Matthieu Lombard', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 98221, 'name': 'Robin Chapapria', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57091, 'name': 'William Lavis', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,528,Dijon Football Côte d'Or,Dijon FCO,DFC,https://crests.football-data.org/528.svg,532,Angers SCO,Angers SCO,ANG,https://crests.football-data.org/532.svg,AWAY_TEAM,REGULAR,0,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
296857,2020-08-23T13:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 57070, 'name': 'Johan Hamel', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57060, 'name': 'Mathieu Grosbost', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57044, 'name': 'Frédéric Hebrard', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 1063, 'name': 'Cédric Dos Santos', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 111224, 'name': 'Wilfried Bien', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,525,FC Lorient,Lorient,FCL,https://crests.football-data.org/525.png,576,RC Strasbourg Alsace,Strasbourg,RC ,https://crests.football-data.org/576.png,HOME_TEAM,REGULAR,3,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
296858,2020-08-23T11:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 43918, 'name': 'François Letexier', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57080, 'name': 'Cyril Mugnier', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 1064, 'name': 'Erwan Finjean', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 1060, 'name': 'Remi Landry', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43917, 'name': 'Amaury Delerue', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,547,Stade de Reims,Stade de Reims,SDR,https://crests.football-data.org/547.png,DRAW,REGULAR,2,2,1,2,Activate Odds-Package in User-Panel to retrieve odds.
296853,2020-08-22T19:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-08-23T13:33:53Z,"[{'id': 9374, 'name': 'Clément Turpin', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43884, 'name': 'Cyril Gringore', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43883, 'name': 'Nicolas Danos', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57081, 'name': 'Mickaël Leleu', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 43917, 'name': 'Amaury Delerue', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,521,Lille OSC,Lille,LIL,https://crests.football-data.org/521.svg,529,Stade Rennais FC 1901,Stade Rennais,REN,https://crests.football-data.org/529.png,DRAW,REGULAR,1,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
296860,2020-08-23T13:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-11-13T15:33:32Z,"[{'id': 57073, 'name': 'Jérémie Pignard', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57079, 'name': 'Philippe Jeanne', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57072, 'name': 'Yannick Boutry', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 57065, 'name': 'Pierre Gaillouste', 'type': 'REFEREE', 'nationality': 'France'}, {'id': 15545, 'name': 'Benoît Millot', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,596,2020-08-21,2021-05-23,38,,556,Nîmes Olympique,Nîmes Ol.,NÎM,https://crests.football-data.org/556.svg,512,Stade Brestois 29,Brest,BRE,https://crests.football-data.org/512.png,HOME_TEAM,REGULAR,4,0,2,0,Activate Odds-Package in User-Panel to retrieve odds.
