matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,VfB Stuttgart,1,3,5,1,4
1,2,TSG 1899 Hoffenheim,1,3,4,0,4
1,3,Borussia Dortmund,1,3,5,2,3
1,4,1. FC Köln,1,3,3,1,2
1,5,VfL Wolfsburg,1,3,1,0,1
1,6,1. FSV Mainz 05,1,3,1,0,1
1,7,Borussia Mönchengladbach,1,1,1,1,0
1,8,FC Bayern München,1,1,1,1,0
1,9,1. FC Union Berlin,1,1,1,1,0
1,10,Bayer 04 Leverkusen,1,1,1,1,0
1,11,Arminia Bielefeld,1,1,0,0,0
1,12,SC Freiburg,1,1,0,0,0
1,13,VfL Bochum 1848,1,0,0,1,-1
1,14,RB Leipzig,1,0,0,1,-1
1,15,Hertha BSC,1,0,1,3,-2
1,16,Eintracht Frankfurt,1,0,2,5,-3
1,17,SpVgg Greuther Fürth 1903,1,0,1,5,-4
1,18,FC Augsburg,1,0,0,4,-4
1,1,VfB Stuttgart,1,3,5,1,4
1,2,Borussia Dortmund,1,3,5,2,3
1,3,1. FC Köln,1,3,3,1,2
1,4,VfL Wolfsburg,1,3,1,0,1
1,5,1. FSV Mainz 05,1,3,1,0,1
1,6,Borussia Mönchengladbach,1,1,1,1,0
1,7,1. FC Union Berlin,1,1,1,1,0
1,8,Arminia Bielefeld,1,1,0,0,0
1,18,FC Augsburg,1,0,0,4,-4
1,1,TSG 1899 Hoffenheim,1,3,4,0,4
1,2,FC Bayern München,1,1,1,1,0
1,3,Bayer 04 Leverkusen,1,1,1,1,0
1,4,SC Freiburg,1,1,0,0,0
1,14,VfL Bochum 1848,1,0,0,1,-1
1,15,RB Leipzig,1,0,0,1,-1
1,16,Hertha BSC,1,0,1,3,-2
1,17,Eintracht Frankfurt,1,0,2,5,-3
1,18,SpVgg Greuther Fürth 1903,1,0,1,5,-4
2,1,VfL Wolfsburg,2,6,3,1,2
2,2,TSG 1899 Hoffenheim,2,4,6,2,4
2,3,Bayer 04 Leverkusen,2,4,5,1,4
2,4,FC Bayern München,2,4,4,3,1
2,5,SC Freiburg,2,4,2,1,1
2,6,RB Leipzig,2,3,4,1,3
2,7,Borussia Dortmund,2,3,6,4,2
2,8,1. FC Köln,2,3,5,4,1
2,9,VfL Bochum 1848,2,3,2,1,1
2,10,VfB Stuttgart,2,3,5,5,0
2,11,1. FSV Mainz 05,2,3,1,2,-1
2,12,1. FC Union Berlin,2,2,3,3,0
2,13,Arminia Bielefeld,2,2,1,1,0
2,14,Eintracht Frankfurt,2,1,2,5,-3
2,15,SpVgg Greuther Fürth 1903,2,1,2,6,-4
2,16,Borussia Mönchengladbach,2,1,1,5,-4
2,17,FC Augsburg,2,1,0,4,-4
2,18,Hertha BSC,2,0,2,5,-3
3,1,VfL Wolfsburg,3,9,4,1,3
3,2,Bayer 04 Leverkusen,3,7,9,2,7
3,3,FC Bayern München,3,7,9,3,6
3,4,SC Freiburg,3,7,5,3,2
3,5,Borussia Dortmund,3,6,9,6,3
3,6,1. FC Köln,3,6,7,5,2
3,7,1. FSV Mainz 05,3,6,4,2,2
3,8,1. FC Union Berlin,3,5,5,4,1
3,9,TSG 1899 Hoffenheim,3,4,8,5,3
3,10,RB Leipzig,3,3,4,2,2
3,11,VfL Bochum 1848,3,3,3,3,0
3,12,Arminia Bielefeld,3,3,2,2,0
3,13,VfB Stuttgart,3,3,7,8,-1
3,14,Eintracht Frankfurt,3,2,3,6,-3
3,15,Borussia Mönchengladbach,3,1,2,7,-5
3,16,SpVgg Greuther Fürth 1903,3,1,2,9,-7
3,17,FC Augsburg,3,1,1,8,-7
3,18,Hertha BSC,3,0,2,10,-8
4,1,VfL Wolfsburg,4,12,6,1,5
4,2,FC Bayern München,4,10,13,4,9
4,3,Borussia Dortmund,4,9,13,9,4
4,4,1. FSV Mainz 05,4,9,6,2,4
4,5,SC Freiburg,4,8,6,4,2
4,6,Bayer 04 Leverkusen,4,7,12,6,6
4,7,1. FC Köln,4,7,8,6,2
4,8,1. FC Union Berlin,4,6,5,4,1
4,9,TSG 1899 Hoffenheim,4,4,8,7,1
4,10,VfB Stuttgart,4,4,8,9,-1
4,11,Borussia Mönchengladbach,4,4,5,8,-3
4,12,RB Leipzig,4,3,5,6,-1
4,13,VfL Bochum 1848,4,3,4,6,-2
4,14,Arminia Bielefeld,4,3,3,5,-2
4,15,Eintracht Frankfurt,4,3,4,7,-3
4,16,Hertha BSC,4,3,5,11,-6
4,17,FC Augsburg,4,2,1,8,-7
4,18,SpVgg Greuther Fürth 1903,4,1,2,11,-9
5,1,FC Bayern München,5,13,20,4,16
5,2,VfL Wolfsburg,5,13,7,2,5
5,3,Borussia Dortmund,5,12,17,11,6
5,4,Bayer 04 Leverkusen,5,10,15,7,8
5,5,1. FSV Mainz 05,5,10,6,2,4
5,6,SC Freiburg,5,9,6,4,2
5,7,1. FC Köln,5,8,9,7,2
5,8,1. FC Union Berlin,5,6,7,8,-1
5,9,Hertha BSC,5,6,7,12,-5
5,10,TSG 1899 Hoffenheim,5,5,8,7,1
5,11,FC Augsburg,5,5,2,8,-6
5,12,RB Leipzig,5,4,6,7,-1
5,13,Arminia Bielefeld,5,4,3,5,-2
5,14,VfB Stuttgart,5,4,9,12,-3
5,15,Eintracht Frankfurt,5,4,5,8,-3
5,16,Borussia Mönchengladbach,5,4,5,9,-4
5,17,VfL Bochum 1848,5,3,4,13,-9
5,18,SpVgg Greuther Fürth 1903,5,1,3,13,-10
6,1,FC Bayern München,6,16,23,5,18
6,2,Bayer 04 Leverkusen,6,13,16,7,9
6,3,VfL Wolfsburg,6,13,8,5,3
6,4,Borussia Dortmund,6,12,17,12,5
6,5,SC Freiburg,6,12,9,4,5
6,6,1. FSV Mainz 05,6,10,6,3,3
6,7,1. FC Köln,6,9,10,8,2
6,8,1. FC Union Berlin,6,9,8,8,0
6,9,TSG 1899 Hoffenheim,6,8,11,8,3
6,10,RB Leipzig,6,7,12,7,5
6,11,Borussia Mönchengladbach,6,7,6,9,-3
6,12,Hertha BSC,6,6,7,18,-11
6,13,VfB Stuttgart,6,5,9,12,-3
6,14,Eintracht Frankfurt,6,5,6,9,-3
6,15,FC Augsburg,6,5,2,11,-9
6,16,Arminia Bielefeld,6,4,3,6,-3
6,17,VfL Bochum 1848,6,4,4,13,-9
6,18,SpVgg Greuther Fürth 1903,6,1,4,16,-12
7,1,FC Bayern München,7,16,24,7,17
7,2,Bayer 04 Leverkusen,7,16,20,7,13
7,3,Borussia Dortmund,7,15,19,13,6
7,4,SC Freiburg,7,15,11,5,6
7,5,VfL Wolfsburg,7,13,9,8,1
7,6,1. FC Köln,7,12,13,9,4
7,7,1. FC Union Berlin,7,12,10,9,1
7,8,RB Leipzig,7,10,15,7,8
7,9,1. FSV Mainz 05,7,10,7,5,2
7,10,Borussia Mönchengladbach,7,10,9,10,-1
7,11,TSG 1899 Hoffenheim,7,8,12,11,1
7,12,VfB Stuttgart,7,8,12,13,-1
7,13,Eintracht Frankfurt,7,8,8,10,-2
7,14,Hertha BSC,7,6,8,20,-12
7,15,FC Augsburg,7,5,3,13,-10
7,16,Arminia Bielefeld,7,4,3,10,-7
7,17,VfL Bochum 1848,7,4,4,16,-12
