player,team,goals
Erling Haaland,Manchester City FC,36
Harry Kane,Tottenham Hotspur FC,30
Ivan Toney,Brentford FC,20
Mohamed Salah,Liverpool FC,19
Callum Wilson,Newcastle United FC,18
Marcus Rashford,Manchester United FC,17
Martinelli,Arsenal FC,15
Ollie Watkins,Aston Villa FC,15
Martin Ødegaard,Arsenal FC,15
Aleksandar Mitrović,Fulham FC,14
