player,team,goals
Karim Benzema,Real Madrid CF,27
Juanmi,Real Betis Balompié,17
Vinicius Junior,Real Madrid CF,17
Iago Aspas,RC Celta de Vigo,17
Raúl de Tomás,RCD Espanyol de Barcelona,17
Enes Ünal,Getafe CF,16
Joselu,Deportivo Alavés,14
José Luis Morales,Levante UD,13
Ángel Correa,Club Atlético de Madrid,12
Memphis Depay,FC Barcelona,12
