player,team,goals
Erling Haaland,Manchester City FC,27
Cole Palmer,Chelsea FC,22
Alexander Isak,Newcastle United FC,21
Dominic Solanke,AFC Bournemouth,19
Phil Foden,Manchester City FC,19
Ollie Watkins,Aston Villa FC,19
Mohamed Salah,Liverpool FC,18
Heung-min Son,Tottenham Hotspur FC,17
Bukayo Saka,Arsenal FC,16
Jarrod Bowen,West Ham United FC,16
