player,team,goals
Kylian Mbappé,Paris Saint-Germain FC,29
Wissam Ben Yedder,AS Monaco FC,25
Moussa Dembélé,Olympique Lyonnais,21
Martin Terrier,Stade Rennais FC 1901,21
Andy Delort,OGC Nice,18
Gaëtan Laborde,Stade Rennais FC 1901,15
Jonathan David,Lille OSC,15
Mohamed Bayo,Clermont Foot 63,14
Neymar,Paris Saint-Germain FC,13
Dimitri Payet,Olympique de Marseille,12
