player,team,goals
Lionel Messi,FC Barcelona,30
Gerard Moreno,Villarreal CF,23
Karim Benzema,Real Madrid CF,23
Luis Suárez,Club Atlético de Madrid,21
Youssef En-Nesyri,Sevilla FC,18
Alexander Isak,Real Sociedad de Fútbol,16
Iago Aspas,RC Celta de Vigo,14
José Luis Morales,Levante UD,13
Rafael Mir,SD Huesca,13
Antoine Griezmann,FC Barcelona,13
