matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Club Atlético de Madrid,1,3,3,1,2
1,2,Rayo Vallecano de Madrid,1,3,2,0,2
1,3,Real Madrid CF,1,3,2,0,2
1,4,CA Osasuna,1,3,2,0,2
1,5,Valencia CF,1,3,2,1,1
1,6,Real Betis Balompié,1,3,2,1,1
1,7,Cádiz CF,1,3,1,0,1
1,8,Real Sociedad de Fútbol,1,1,1,1,0
1,9,Girona FC,1,1,1,1,0
1,10,UD Las Palmas,1,1,1,1,0
1,11,RCD Mallorca,1,1,1,1,0
1,12,Getafe CF,1,1,0,0,0
1,13,FC Barcelona,1,1,0,0,0
1,14,Sevilla FC,1,0,1,2,-1
1,15,Villarreal CF,1,0,1,2,-1
1,16,Deportivo Alavés,1,0,0,1,-1
1,17,Granada CF,1,0,1,3,-2
1,18,UD Almería,1,0,0,2,-2
1,19,Athletic Club,1,0,0,2,-2
1,20,RC Celta de Vigo,1,0,0,2,-2
1,1,Club Atlético de Madrid,1,3,3,1,2
1,2,Cádiz CF,1,3,1,0,1
1,3,Real Sociedad de Fútbol,1,1,1,1,0
1,4,UD Las Palmas,1,1,1,1,0
1,5,Getafe CF,1,1,0,0,0
1,16,Sevilla FC,1,0,1,2,-1
1,17,Villarreal CF,1,0,1,2,-1
1,18,UD Almería,1,0,0,2,-2
1,19,Athletic Club,1,0,0,2,-2
1,20,RC Celta de Vigo,1,0,0,2,-2
1,1,Rayo Vallecano de Madrid,1,3,2,0,2
1,2,Real Madrid CF,1,3,2,0,2
1,3,CA Osasuna,1,3,2,0,2
1,4,Valencia CF,1,3,2,1,1
1,5,Real Betis Balompié,1,3,2,1,1
1,6,Girona FC,1,1,1,1,0
1,7,RCD Mallorca,1,1,1,1,0
1,8,FC Barcelona,1,1,0,0,0
1,19,Deportivo Alavés,1,0,0,1,-1
1,20,Granada CF,1,0,1,3,-2
2,1,Real Madrid CF,2,6,5,1,4
2,2,Rayo Vallecano de Madrid,2,6,4,0,4
2,3,Valencia CF,2,6,3,1,2
2,4,Girona FC,2,4,4,1,3
2,5,Club Atlético de Madrid,2,4,3,1,2
