player,team,goals
Harry Kane,Tottenham Hotspur FC,23
Mohamed Salah,Liverpool FC,22
Bruno Fernandes,Manchester United FC,18
Patrick Bamford,Leeds United FC,17
Son Heungmin,Tottenham Hotspur FC,17
Dominic Calvert-Lewin,Everton FC,16
Jamie Vardy,Leicester City FC,15
Ollie Watkins,Aston Villa FC,14
Alexandre Lacazette,Arsenal FC,13
Ilkay Gündogan,Manchester City FC,13
