player,team,goals
Kylian Mbappé,Paris Saint-Germain FC,27
Memphis Depay,Olympique Lyonnais,21
Wissam Ben Yedder,AS Monaco FC,20
Gaëtan Laborde,Montpellier HSC,16
Burak Yılmaz,Lille OSC,16
Ludovic Ajorque,RC Strasbourg Alsace,16
Kevin Volland,AS Monaco FC,16
Andy Delort,Montpellier HSC,15
Boulaye Dia,Stade de Reims,14
Terem Moffi,FC Lorient,14
