player,team,goals
Mohamed Salah,Liverpool FC,23
Son Heungmin,Tottenham Hotspur FC,23
Cristiano Ronaldo,Manchester United FC,18
Harry Kane,Tottenham Hotspur FC,17
Sadio Mané,Liverpool FC,16
Jamie Vardy,Leicester City FC,15
Diogo Jota,Liverpool FC,15
Kevin De Bruyne,Manchester City FC,15
Wilfried Zaha,Crystal Palace FC,14
Raheem Sterling,Manchester City FC,13
