matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,FC Bayern München,1,3,8,0,8
1,2,Hertha BSC,1,3,4,1,3
1,3,Borussia Dortmund,1,3,3,0,3
1,4,FC Augsburg,1,3,3,1,2
1,5,RB Leipzig,1,3,3,1,2
1,6,TSG 1899 Hoffenheim,1,3,3,2,1
1,7,SC Freiburg,1,3,3,2,1
1,8,Eintracht Frankfurt,1,1,1,1,0
1,9,Arminia Bielefeld,1,1,1,1,0
1,10,VfL Wolfsburg,1,1,0,0,0
1,11,Bayer 04 Leverkusen,1,1,0,0,0
1,12,1. FC Köln,1,0,2,3,-1
1,13,VfB Stuttgart,1,0,2,3,-1
1,14,1. FC Union Berlin,1,0,1,3,-2
1,15,1. FSV Mainz 05,1,0,1,3,-2
1,16,SV Werder Bremen,1,0,1,4,-3
1,17,Borussia Mönchengladbach,1,0,0,3,-3
1,18,FC Schalke 04,1,0,0,8,-8
1,1,FC Bayern München,1,3,8,0,8
1,2,Borussia Dortmund,1,3,3,0,3
1,3,RB Leipzig,1,3,3,1,2
1,4,Eintracht Frankfurt,1,1,1,1,0
1,5,VfL Wolfsburg,1,1,0,0,0
1,15,1. FC Köln,1,0,2,3,-1
1,16,VfB Stuttgart,1,0,2,3,-1
1,17,1. FC Union Berlin,1,0,1,3,-2
1,18,SV Werder Bremen,1,0,1,4,-3
1,1,Hertha BSC,1,3,4,1,3
1,2,FC Augsburg,1,3,3,1,2
1,3,TSG 1899 Hoffenheim,1,3,3,2,1
1,4,SC Freiburg,1,3,3,2,1
1,5,Arminia Bielefeld,1,1,1,1,0
1,6,Bayer 04 Leverkusen,1,1,0,0,0
1,16,1. FSV Mainz 05,1,0,1,3,-2
1,17,Borussia Mönchengladbach,1,0,0,3,-3
1,18,FC Schalke 04,1,0,0,8,-8
2,1,TSG 1899 Hoffenheim,2,6,7,3,4
2,2,FC Augsburg,2,6,5,1,4
2,3,Eintracht Frankfurt,2,4,4,2,2
2,4,RB Leipzig,2,4,4,2,2
2,5,SC Freiburg,2,4,4,3,1
2,6,Arminia Bielefeld,2,4,2,1,1
2,7,FC Bayern München,2,3,9,4,5
2,8,VfB Stuttgart,2,3,6,4,2
2,9,Hertha BSC,2,3,5,4,1
2,10,Borussia Dortmund,2,3,3,2,1
2,11,SV Werder Bremen,2,3,4,5,-1
2,12,VfL Wolfsburg,2,2,1,1,0
2,13,Bayer 04 Leverkusen,2,2,1,1,0
2,14,1. FC Union Berlin,2,1,2,4,-2
2,15,Borussia Mönchengladbach,2,1,1,4,-3
2,16,1. FC Köln,2,0,2,4,-2
2,17,1. FSV Mainz 05,2,0,2,7,-5
2,18,FC Schalke 04,2,0,1,11,-10
3,1,RB Leipzig,3,7,8,2,6
3,2,FC Augsburg,3,7,5,1,4
3,3,Eintracht Frankfurt,3,7,6,3,3
3,4,FC Bayern München,3,6,13,7,6
3,5,Borussia Dortmund,3,6,7,2,5
3,6,TSG 1899 Hoffenheim,3,6,8,5,3
3,7,SV Werder Bremen,3,6,5,5,0
3,8,VfB Stuttgart,3,4,7,5,2
3,9,1. FC Union Berlin,3,4,6,4,2
