matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Angers SCO,1,3,2,0,2
1,2,Clermont Foot 63,1,3,2,0,2
1,3,Olympique de Marseille,1,3,3,2,1
1,4,Paris Saint-Germain FC,1,3,2,1,1
1,5,FC Metz,1,1,3,3,0
1,6,Lille OSC,1,1,3,3,0
1,7,AS Monaco FC,1,1,1,1,0
1,8,FC Nantes,1,1,1,1,0
1,9,Olympique Lyonnais,1,1,1,1,0
1,10,Stade Brestois 29,1,1,1,1,0
1,11,Stade Rennais FC 1901,1,1,1,1,0
1,12,Racing Club de Lens,1,1,1,1,0
1,13,AS Saint-Étienne,1,1,1,1,0
1,14,FC Lorient,1,1,1,1,0
1,15,OGC Nice,1,1,0,0,0
1,16,Stade de Reims,1,1,0,0,0
1,17,Montpellier HSC,1,0,2,3,-1
1,18,ES Troyes AC,1,0,1,2,-1
1,19,RC Strasbourg Alsace,1,0,0,2,-2
1,20,FC Girondins de Bordeaux,1,0,0,2,-2
1,1,FC Metz,1,1,3,3,0
1,2,AS Monaco FC,1,1,1,1,0
1,3,Olympique Lyonnais,1,1,1,1,0
1,4,Stade Rennais FC 1901,1,1,1,1,0
1,5,AS Saint-Étienne,1,1,1,1,0
1,6,OGC Nice,1,1,0,0,0
1,17,Montpellier HSC,1,0,2,3,-1
1,18,ES Troyes AC,1,0,1,2,-1
1,19,RC Strasbourg Alsace,1,0,0,2,-2
1,20,FC Girondins de Bordeaux,1,0,0,2,-2
1,1,Angers SCO,1,3,2,0,2
1,2,Clermont Foot 63,1,3,2,0,2
1,3,Olympique de Marseille,1,3,3,2,1
1,4,Paris Saint-Germain FC,1,3,2,1,1
1,5,Lille OSC,1,1,3,3,0
1,6,FC Nantes,1,1,1,1,0
1,7,Stade Brestois 29,1,1,1,1,0
1,8,Racing Club de Lens,1,1,1,1,0
1,9,FC Lorient,1,1,1,1,0
1,10,Stade de Reims,1,1,0,0,0
2,1,Angers SCO,2,6,5,0,5
2,2,Clermont Foot 63,2,6,4,0,4
2,3,Paris Saint-Germain FC,2,6,6,3,3
2,4,OGC Nice,2,4,4,0,4
2,5,FC Nantes,2,4,3,1,2
2,6,Olympique de Marseille,2,4,5,4,1
2,7,FC Lorient,2,4,2,1,1
2,8,Racing Club de Lens,2,2,3,3,0
2,9,AS Saint-Étienne,2,2,3,3,0
2,10,Stade de Reims,2,2,3,3,0
2,11,Stade Brestois 29,2,2,2,2,0
2,12,Stade Rennais FC 1901,2,2,2,2,0
2,13,Montpellier HSC,2,1,5,6,-1
2,14,AS Monaco FC,2,1,1,2,-1
2,15,FC Metz,2,1,3,5,-2
2,16,FC Girondins de Bordeaux,2,1,2,4,-2
2,17,Olympique Lyonnais,2,1,1,4,-3
2,18,Lille OSC,2,1,3,7,-4
2,19,ES Troyes AC,2,0,1,4,-3
2,20,RC Strasbourg Alsace,2,0,2,6,-4
3,1,Paris Saint-Germain FC,3,9,10,5,5
3,2,Angers SCO,3,7,6,1,5
3,3,Clermont Foot 63,3,7,7,3,4
3,4,OGC Nice,3,5,5,1,4
3,5,Racing Club de Lens,3,5,5,3,2
3,6,Olympique de Marseille,3,5,6,5,1
3,7,Stade Rennais FC 1901,3,5,3,2,1
3,8,Montpellier HSC,3,4,8,7,1
3,9,FC Nantes,3,4,3,2,1
3,10,FC Lorient,3,4,3,4,-1
3,11,AS Saint-Étienne,3,3,4,4,0
3,12,Stade de Reims,3,3,4,4,0
3,13,Stade Brestois 29,3,2,4,6,-2
3,14,FC Metz,3,2,4,6,-2
3,15,FC Girondins de Bordeaux,3,2,3,5,-2
3,16,Olympique Lyonnais,3,2,4,7,-3
3,17,Lille OSC,3,2,4,8,-4
3,18,ES Troyes AC,3,1,2,5,-3
3,19,AS Monaco FC,3,1,1,4,-3
3,20,RC Strasbourg Alsace,3,1,3,7,-4
4,1,Paris Saint-Germain FC,4,12,12,5,7
4,2,Angers SCO,4,10,8,1,7
4,3,OGC Nice,4,8,9,1,8
4,4,Clermont Foot 63,4,8,9,5,4
4,5,Olympique de Marseille,4,8,9,6,3
4,6,Racing Club de Lens,4,6,7,5,2
4,7,FC Lorient,4,5,5,6,-1
4,8,Stade Rennais FC 1901,4,5,3,4,-1
4,9,Olympique Lyonnais,4,5,5,7,-2
4,10,Lille OSC,4,5,6,9,-3
4,11,Montpellier HSC,4,4,9,9,0
4,12,FC Nantes,4,4,3,3,0
4,13,RC Strasbourg Alsace,4,4,6,8,-2
4,14,AS Monaco FC,4,4,3,5,-2
4,15,FC Metz,4,3,6,8,-2
4,16,AS Saint-Étienne,4,3,5,7,-2
4,17,Stade de Reims,4,3,4,6,-2
4,18,Stade Brestois 29,4,2,5,9,-4
4,19,FC Girondins de Bordeaux,4,2,3,9,-6
4,20,ES Troyes AC,4,1,3,7,-4
5,1,Paris Saint-Germain FC,5,15,16,5,11
5,2,OGC Nice,5,11,11,1,10
5,3,Angers SCO,5,11,9,2,7
5,4,Olympique de Marseille,5,11,11,6,5
5,5,Racing Club de Lens,5,9,10,7,3
5,6,Clermont Foot 63,5,8,9,9,0
5,7,Olympique Lyonnais,5,8,8,8,0
5,8,FC Lorient,5,8,7,7,0
5,9,Montpellier HSC,5,7,11,9,2
5,10,Stade de Reims,5,6,6,6,0
5,11,Stade Rennais FC 1901,5,5,3,6,-3
5,12,Lille OSC,5,5,7,11,-4
5,13,ES Troyes AC,5,4,5,7,-2
5,14,FC Nantes,5,4,3,5,-2
5,15,RC Strasbourg Alsace,5,4,7,11,-4
5,16,AS Monaco FC,5,4,3,7,-4
5,17,Stade Brestois 29,5,3,6,10,-4
5,18,FC Metz,5,3,6,10,-4
5,19,AS Saint-Étienne,5,3,5,9,-4
5,20,FC Girondins de Bordeaux,5,2,5,12,-7
6,1,Paris Saint-Germain FC,6,18,18,6,12
6,2,Olympique de Marseille,6,14,13,6,7
6,3,OGC Nice,6,12,13,3,10
6,4,Racing Club de Lens,6,12,11,7,4
