matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
6,13,Udinese Calcio,6,7,6,8,-2
6,14,Hellas Verona FC,6,5,11,14,-3
6,15,UC Sampdoria,6,5,7,10,-3
6,16,Genoa CFC,6,5,10,15,-5
6,17,Spezia Calcio,6,4,8,15,-7
6,18,Venezia FC,6,4,4,11,-7
6,19,Cagliari Calcio,6,2,7,15,-8
6,20,US Salernitana 1919,6,1,4,15,-11
7,1,SSC Napoli,7,21,18,3,15
7,2,AC Milan,7,19,15,5,10
7,3,FC Internazionale Milano,7,17,22,8,14
7,4,AS Roma,7,15,16,8,8
7,5,ACF Fiorentina,7,12,10,11,-1
7,6,SS Lazio,7,11,15,12,3
7,7,Juventus FC,7,11,11,10,1
7,8,Atalanta BC,7,11,10,9,1
7,9,Bologna FC 1909,7,11,12,14,-2
7,10,Empoli FC,7,9,9,12,-3
7,11,Torino FC,7,8,9,7,2
7,12,Hellas Verona FC,7,8,15,14,1
7,13,Udinese Calcio,7,8,9,11,-2
7,14,US Sassuolo Calcio,7,7,7,9,-2
7,15,UC Sampdoria,7,6,10,13,-3
7,16,Genoa CFC,7,5,10,16,-6
7,17,Venezia FC,7,5,5,12,-7
7,18,US Salernitana 1919,7,4,5,15,-10
7,19,Spezia Calcio,7,4,8,19,-11
7,20,Cagliari Calcio,7,3,8,16,-8
8,1,SSC Napoli,8,24,19,3,16
8,2,AC Milan,8,22,18,7,11
8,3,FC Internazionale Milano,8,17,23,11,12
8,4,AS Roma,8,15,16,9,7
8,5,SS Lazio,8,14,18,13,5
8,6,Atalanta BC,8,14,14,10,4
8,7,Juventus FC,8,14,12,10,2
8,8,Bologna FC 1909,8,12,13,15,-2
8,9,ACF Fiorentina,8,12,10,12,-2
8,10,Udinese Calcio,8,9,10,12,-2
8,11,Empoli FC,8,9,10,16,-6
8,12,Torino FC,8,8,9,8,1
8,13,Hellas Verona FC,8,8,17,17,0
8,14,US Sassuolo Calcio,8,8,9,11,-2
8,15,Venezia FC,8,8,6,12,-6
8,16,Spezia Calcio,8,7,10,20,-10
8,17,UC Sampdoria,8,6,11,16,-5
8,18,Genoa CFC,8,6,12,18,-6
8,19,Cagliari Calcio,8,6,11,17,-6
8,20,US Salernitana 1919,8,4,6,17,-11
9,1,SSC Napoli,9,25,19,3,16
9,2,AC Milan,9,25,22,9,13
9,3,FC Internazionale Milano,9,18,24,12,12
9,4,AS Roma,9,16,16,9,7
9,5,Atalanta BC,9,15,15,11,4
9,6,Juventus FC,9,15,13,11,2
9,7,ACF Fiorentina,9,15,13,12,1
9,8,SS Lazio,9,14,19,17,2
9,9,Bologna FC 1909,9,12,15,19,-4
9,10,Empoli FC,9,12,14,18,-4
9,11,Hellas Verona FC,9,11,21,18,3
9,12,Torino FC,9,11,12,10,2
9,13,US Sassuolo Calcio,9,11,12,12,0
9,14,Udinese Calcio,9,10,11,13,-2
9,15,UC Sampdoria,9,9,13,17,-4
9,16,Venezia FC,9,8,7,15,-8
9,17,Spezia Calcio,9,7,11,22,-11
9,18,Genoa CFC,9,6,14,21,-7
9,19,Cagliari Calcio,9,6,11,20,-9
9,20,US Salernitana 1919,9,4,8,21,-13
10,1,SSC Napoli,10,28,22,3,19
10,2,AC Milan,10,28,23,9,14
10,3,FC Internazionale Milano,10,21,26,12,14
10,4,AS Roma,10,19,18,10,8
10,5,Atalanta BC,10,18,18,12,6
10,6,SS Lazio,10,17,20,17,3
10,7,Juventus FC,10,15,14,13,1
10,8,ACF Fiorentina,10,15,13,13,0
10,9,US Sassuolo Calcio,10,14,14,13,1
10,10,Hellas Verona FC,10,12,22,19,3
10,11,Empoli FC,10,12,14,20,-6
10,12,Bologna FC 1909,10,12,15,22,-7
10,13,Torino FC,10,11,12,11,1
10,14,Udinese Calcio,10,11,12,14,-2
10,15,UC Sampdoria,10,9,14,20,-6
10,16,Venezia FC,10,8,8,17,-9
10,17,Spezia Calcio,10,8,12,23,-11
10,18,Genoa CFC,10,7,15,22,-7
10,19,US Salernitana 1919,10,7,10,22,-12
10,20,Cagliari Calcio,10,6,12,22,-10
11,1,SSC Napoli,11,31,23,3,20
11,2,AC Milan,11,31,25,10,15
11,3,FC Internazionale Milano,11,24,28,12,16
11,4,AS Roma,11,19,19,12,7
11,5,Atalanta BC,11,19,20,14,6
11,6,SS Lazio,11,18,22,19,3
11,7,ACF Fiorentina,11,18,16,13,3
11,8,Hellas Verona FC,11,15,24,20,4
11,9,Juventus FC,11,15,15,15,0
11,10,Bologna FC 1909,11,15,17,22,-5
11,11,Empoli FC,11,15,16,21,-5
11,12,Torino FC,11,14,15,11,4
11,13,US Sassuolo Calcio,11,14,15,15,0
11,14,Udinese Calcio,11,11,12,16,-4
11,15,UC Sampdoria,11,9,14,23,-9
11,16,Venezia FC,11,9,8,17,-9
11,17,Genoa CFC,11,8,15,22,-7
11,18,Spezia Calcio,11,8,12,26,-14
11,19,US Salernitana 1919,11,7,10,23,-13
11,20,Cagliari Calcio,11,6,12,24,-12
12,1,SSC Napoli,12,32,24,4,20
12,2,AC Milan,12,32,26,11,15
12,3,FC Internazionale Milano,12,25,29,13,16
12,4,Atalanta BC,12,22,22,15,7
12,5,SS Lazio,12,21,25,19,6
12,6,AS Roma,12,19,21,15,6
12,7,ACF Fiorentina,12,18,16,14,2
12,8,Juventus FC,12,18,16,15,1
12,9,Bologna FC 1909,12,18,19,23,-4
12,10,Hellas Verona FC,12,16,25,21,4
12,11,Empoli FC,12,16,18,23,-5
12,12,Torino FC,12,14,15,12,3
12,13,US Sassuolo Calcio,12,14,17,18,-1
12,14,Udinese Calcio,12,14,15,18,-3
12,15,Venezia FC,12,12,11,19,-8
12,16,Spezia Calcio,12,11,13,26,-13
12,17,Genoa CFC,12,9,17,24,-7
12,18,UC Sampdoria,12,9,15,25,-10
12,19,US Salernitana 1919,12,7,10,26,-16
12,20,Cagliari Calcio,12,6,13,26,-13
13,1,SSC Napoli,13,32,26,7,19
13,2,AC Milan,13,32,29,15,14
13,3,FC Internazionale Milano,13,28,32,15,17
13,4,Atalanta BC,13,25,27,17,10
13,5,AS Roma,13,22,23,15,8
13,6,SS Lazio,13,21,25,21,4
13,7,ACF Fiorentina,13,21,20,17,3
13,8,Juventus FC,13,21,18,15,3
13,9,Hellas Verona FC,13,19,27,22,5
13,10,Bologna FC 1909,13,18,19,24,-5
13,11,Torino FC,13,17,17,13,4
13,12,Empoli FC,13,16,19,25,-6
13,13,US Sassuolo Calcio,13,15,19,20,-1
13,14,Venezia FC,13,15,12,19,-7
13,15,Udinese Calcio,13,14,16,20,-4
13,16,UC Sampdoria,13,12,17,25,-8
13,17,Spezia Calcio,13,11,15,31,-16
13,18,Genoa CFC,13,9,17,26,-9
13,19,Cagliari Calcio,13,7,15,28,-13
13,20,US Salernitana 1919,13,7,10,28,-18
14,1,SSC Napoli,14,35,30,7,23
14,2,AC Milan,14,32,30,18,12
14,3,FC Internazionale Milano,14,31,34,15,19
14,4,Atalanta BC,14,28,28,17,11
14,5,AS Roma,14,25,24,15,9
14,6,ACF Fiorentina,14,21,21,19,2
14,7,Juventus FC,14,21,18,16,2
14,8,SS Lazio,14,21,25,25,0
14,9,Bologna FC 1909,14,21,20,24,-4
14,10,Hellas Verona FC,14,19,28,25,3
