player,team,goals
Artem Dovbyk,Girona FC,24
Alexander Sørloth,Villarreal CF,23
Jude Bellingham,Real Madrid CF,19
Robert Lewandowski,FC Barcelona,19
Ante Budimir,CA Osasuna,17
Youssef En-Nesyri,Sevilla FC,16
Antoine Griezmann,Club Atlético de Madrid,16
Álvaro Morata,Club Atlético de Madrid,15
Vinicius Junior,Real Madrid CF,15
Borja Mayoral,Getafe CF,15
