matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Nîmes Olympique,1,3,4,0,4
1,2,FC Lorient,1,3,3,1,2
1,3,AS Saint-Étienne,1,3,2,0,2
1,4,OGC Nice,1,3,2,1,1
1,5,Montpellier HSC,1,3,2,1,1
1,6,Angers SCO,1,3,1,0,1
1,7,Paris Saint-Germain FC,1,3,1,0,1
1,8,AS Monaco FC,1,1,2,2,0
1,9,Stade de Reims,1,1,2,2,0
1,10,Lille OSC,1,1,1,1,0
1,11,Stade Rennais FC 1901,1,1,1,1,0
1,12,FC Girondins de Bordeaux,1,1,0,0,0
1,13,FC Nantes,1,1,0,0,0
1,14,Racing Club de Lens,1,0,1,2,-1
1,15,Olympique Lyonnais,1,0,1,2,-1
1,16,Dijon Football Côte d'Or,1,0,0,1,-1
1,17,FC Metz,1,0,0,1,-1
1,18,RC Strasbourg Alsace,1,0,1,3,-2
1,19,Olympique de Marseille,1,0,0,2,-2
1,20,Stade Brestois 29,1,0,0,4,-4
1,1,Nîmes Olympique,1,3,4,0,4
1,2,FC Lorient,1,3,3,1,2
1,3,OGC Nice,1,3,2,1,1
1,4,Montpellier HSC,1,3,2,1,1
1,5,Paris Saint-Germain FC,1,3,1,0,1
1,6,AS Monaco FC,1,1,2,2,0
1,7,Lille OSC,1,1,1,1,0
1,8,FC Girondins de Bordeaux,1,1,0,0,0
1,19,Dijon Football Côte d'Or,1,0,0,1,-1
1,20,Olympique de Marseille,1,0,0,2,-2
1,1,AS Saint-Étienne,1,3,2,0,2
1,2,Angers SCO,1,3,1,0,1
1,3,Stade de Reims,1,1,2,2,0
1,4,Stade Rennais FC 1901,1,1,1,1,0
1,5,FC Nantes,1,1,0,0,0
1,16,Racing Club de Lens,1,0,1,2,-1
1,17,Olympique Lyonnais,1,0,1,2,-1
1,18,FC Metz,1,0,0,1,-1
1,19,RC Strasbourg Alsace,1,0,1,3,-2
1,20,Stade Brestois 29,1,0,0,4,-4
2,1,AS Saint-Étienne,2,6,4,0,4
2,2,OGC Nice,2,6,4,1,3
2,3,FC Girondins de Bordeaux,2,4,2,0,2
2,4,Stade Rennais FC 1901,2,4,3,2,1
2,5,AS Monaco FC,2,4,3,2,1
2,6,FC Nantes,2,4,2,1,1
2,7,Lille OSC,2,4,2,1,1
2,8,Nîmes Olympique,2,3,5,2,3
2,9,Olympique Lyonnais,2,3,5,3,2
2,10,FC Lorient,2,3,3,3,0
2,11,Montpellier HSC,2,3,3,3,0
2,12,Racing Club de Lens,2,3,2,2,0
2,13,Paris Saint-Germain FC,2,3,1,1,0
2,14,Olympique de Marseille,2,3,3,4,-1
2,15,Angers SCO,2,3,1,2,-1
2,16,Stade de Reims,2,1,2,3,-1
2,17,FC Metz,2,0,0,2,-2
2,18,Dijon Football Côte d'Or,2,0,1,5,-4
