player,team,goals
Ciro Immobile,SS Lazio,27
Dušan Vlahović,Juventus FC,24
Lautaro Martínez,FC Internazionale Milano,21
Tammy Abraham,AS Roma,17
Giovanni Simeone,Hellas Verona FC,17
Gianluca Scamacca,US Sassuolo Calcio,16
Domenico Berardi,US Sassuolo Calcio,15
Marko Arnautovic,Bologna FC 1909,14
Victor Osimhen,SSC Napoli,14
Edin Džeko,FC Internazionale Milano,13
