player,team,goals
Harry Kane,FC Bayern München,36
Sehrou Guirassy,VfB Stuttgart,28
Loïs Openda,RB Leipzig,24
Deniz Undav,VfB Stuttgart,18
Maximilian Beier,TSG 1899 Hoffenheim,16
Andrej Kramarić,TSG 1899 Hoffenheim,15
Ermedin Demirovic,FC Augsburg,15
Victor Boniface,Bayer 04 Leverkusen,14
Benjamin Šeško,RB Leipzig,14
Donyell Malen,Borussia Dortmund,13
