player,team,goals
Robert Lewandowski,FC Barcelona,23
Karim Benzema,Real Madrid CF,19
Joselu,RCD Espanyol de Barcelona,16
Antoine Griezmann,Club Atlético de Madrid,15
Borja Iglesias,Real Betis Balompié,15
Vedat Muriqi,RCD Mallorca,15
Enes Ünal,Getafe CF,14
Álvaro Morata,Club Atlético de Madrid,13
Valentín Castellanos,Girona FC,13
Iago Aspas,RC Celta de Vigo,12
