player,team,goals
Niclas Füllkrug,SV Werder Bremen,16
Christopher Nkunku,RB Leipzig,16
Randal Kolo Muani,Eintracht Frankfurt,15
Vincenzo Grifo,SC Freiburg,15
Serge Gnabry,FC Bayern München,14
Marcus Thuram-Ulien,Borussia Mönchengladbach,13
Jamal Musiala,FC Bayern München,12
Jonas Hofmann,Borussia Mönchengladbach,12
Andrej Kramarić,TSG 1899 Hoffenheim,12
Marvin Ducksch,SV Werder Bremen,12
