matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,ACF Fiorentina,1,3,4,1,3
1,2,Juventus FC,1,3,3,0,3
1,3,SSC Napoli,1,3,3,1,2
1,4,FC Internazionale Milano,1,3,2,0,2
1,5,Atalanta BC,1,3,2,0,2
1,6,AC Milan,1,3,2,0,2
1,7,US Lecce,1,3,2,1,1
1,8,Hellas Verona FC,1,3,1,0,1
1,9,AS Roma,1,1,2,2,0
1,10,US Salernitana 1919,1,1,2,2,0
1,11,Torino FC,1,1,0,0,0
1,12,Cagliari Calcio,1,1,0,0,0
1,13,SS Lazio,1,0,1,2,-1
1,14,Empoli FC,1,0,0,1,-1
1,15,Frosinone Calcio,1,0,1,3,-2
1,16,AC Monza,1,0,0,2,-2
1,17,US Sassuolo Calcio,1,0,0,2,-2
1,18,Bologna FC 1909,1,0,0,2,-2
1,19,Genoa CFC,1,0,1,4,-3
1,20,Udinese Calcio,1,0,0,3,-3
1,1,FC Internazionale Milano,1,3,2,0,2
1,2,US Lecce,1,3,2,1,1
1,3,AS Roma,1,1,2,2,0
1,4,Torino FC,1,1,0,0,0
1,15,Empoli FC,1,0,0,1,-1
1,16,Frosinone Calcio,1,0,1,3,-2
1,17,US Sassuolo Calcio,1,0,0,2,-2
1,18,Bologna FC 1909,1,0,0,2,-2
1,19,Genoa CFC,1,0,1,4,-3
1,20,Udinese Calcio,1,0,0,3,-3
1,1,ACF Fiorentina,1,3,4,1,3
1,2,Juventus FC,1,3,3,0,3
1,3,SSC Napoli,1,3,3,1,2
1,4,Atalanta BC,1,3,2,0,2
1,5,AC Milan,1,3,2,0,2
1,6,Hellas Verona FC,1,3,1,0,1
1,7,US Salernitana 1919,1,1,2,2,0
1,8,Cagliari Calcio,1,1,0,0,0
1,19,SS Lazio,1,0,1,2,-1
1,20,AC Monza,1,0,0,2,-2
2,1,AC Milan,2,6,6,1,5
2,2,SSC Napoli,2,6,5,1,4
2,3,FC Internazionale Milano,2,6,4,0,4
2,4,Hellas Verona FC,2,6,3,1,2
2,5,ACF Fiorentina,2,4,6,3,3
2,6,Juventus FC,2,4,4,1,3
2,7,US Lecce,2,4,4,3,1
2,8,Atalanta BC,2,3,3,2,1
2,9,AC Monza,2,3,2,2,0
2,10,Frosinone Calcio,2,3,3,4,-1
2,11,Genoa CFC,2,3,2,4,-2
2,12,US Salernitana 1919,2,2,3,3,0
2,13,AS Roma,2,1,3,4,-1
2,14,Bologna FC 1909,2,1,1,3,-2
2,15,Cagliari Calcio,2,1,0,2,-2
2,16,Udinese Calcio,2,1,1,4,-3
2,17,Torino FC,2,1,1,4,-3
2,18,SS Lazio,2,0,1,3,-2
2,19,Empoli FC,2,0,0,3,-3
2,20,US Sassuolo Calcio,2,0,0,4,-4
2,7,Frosinone Calcio,2,3,3,4,-1
2,6,Atalanta BC,2,3,3,2,1
3,1,FC Internazionale Milano,3,9,8,0,8
3,2,AC Milan,3,9,8,2,6
3,3,Juventus FC,3,7,6,1,5
3,4,US Lecce,3,7,6,3,3
3,5,Atalanta BC,3,6,6,2,4
3,6,SSC Napoli,3,6,6,3,3
3,7,Hellas Verona FC,3,6,4,4,0
3,8,ACF Fiorentina,3,4,6,7,-1
3,9,Frosinone Calcio,3,4,3,4,-1
3,10,Bologna FC 1909,3,4,3,4,-1
3,11,Torino FC,3,4,2,4,-2
3,12,SS Lazio,3,3,3,4,-1
3,13,US Sassuolo Calcio,3,3,3,5,-2
3,14,Genoa CFC,3,3,2,5,-3
3,15,AC Monza,3,3,2,5,-3
3,16,US Salernitana 1919,3,2,3,5,-2
3,17,Udinese Calcio,3,2,1,4,-3
3,18,AS Roma,3,1,4,6,-2
3,19,Cagliari Calcio,3,1,1,4,-3
3,20,Empoli FC,3,0,0,5,-5
4,1,FC Internazionale Milano,4,12,13,1,12
4,2,Juventus FC,4,10,9,2,7
4,3,AC Milan,4,9,9,7,2
4,4,US Lecce,4,8,7,4,3
4,5,SSC Napoli,4,7,8,5,3
4,6,Frosinone Calcio,4,7,7,6,1
4,7,Torino FC,4,7,5,4,1
4,8,ACF Fiorentina,4,7,9,9,0
4,9,Hellas Verona FC,4,7,4,4,0
4,10,Atalanta BC,4,6,8,5,3
4,11,Bologna FC 1909,4,5,3,4,-1
4,12,AS Roma,4,4,11,6,5
4,13,Genoa CFC,4,4,4,7,-3
4,14,AC Monza,4,4,3,6,-3
4,15,SS Lazio,4,3,4,7,-3
4,16,Udinese Calcio,4,3,1,4,-3
4,17,US Sassuolo Calcio,4,3,5,9,-4
4,18,Cagliari Calcio,4,2,1,4,-3
4,19,US Salernitana 1919,4,2,3,8,-5
4,20,Empoli FC,4,0,0,12,-12
5,1,FC Internazionale Milano,5,15,14,1,13
5,2,AC Milan,5,12,10,7,3
5,3,US Lecce,5,11,8,4,4
5,4,Juventus FC,5,10,11,6,5
5,5,ACF Fiorentina,5,10,11,9,2
5,6,Atalanta BC,5,9,10,5,5
5,7,SSC Napoli,5,8,8,5,3
5,8,Frosinone Calcio,5,8,8,7,1
5,9,Torino FC,5,8,6,5,1
5,10,Hellas Verona FC,5,7,4,5,-1
5,11,Bologna FC 1909,5,6,3,4,-1
5,12,US Sassuolo Calcio,5,6,9,11,-2
5,13,AS Roma,5,5,12,7,5
5,14,AC Monza,5,5,4,7,-3
5,15,SS Lazio,5,4,5,8,-3
5,16,Genoa CFC,5,4,4,8,-4
5,17,US Salernitana 1919,5,3,4,9,-5
5,18,Udinese Calcio,5,3,1,6,-5
5,19,Cagliari Calcio,5,2,1,6,-5
5,20,Empoli FC,5,0,0,13,-13
