player,team,goals
Robert Lewandowski,FC Bayern München,41
André Silva,Eintracht Frankfurt,28
Erling Haaland,Borussia Dortmund,27
Andrej Kramarić,TSG 1899 Hoffenheim,20
Wout Weghorst,VfL Wolfsburg,20
Saša Kalajdžić,VfB Stuttgart,16
Lars Stindl,Borussia Mönchengladbach,14
Thomas Müller,FC Bayern München,11
Silas Wamangituka,VfB Stuttgart,11
Max Kruse,1. FC Union Berlin,11
