matchday,position,team_name,playedGames
11,3,SS Lazio,11
11,4,Atalanta BC,11
11,5,AS Roma,11
11,6,Udinese Calcio,11
11,7,FC Internazionale Milano,11
11,8,Juventus FC,11
11,9,US Sassuolo Calcio,11
11,10,Torino FC,11
11,11,US Salernitana 1919,11
11,12,Empoli FC,11
11,13,Bologna FC 1909,11
11,14,ACF Fiorentina,11
11,15,AC Monza,11
11,16,Spezia Calcio,11
11,17,US Lecce,11
11,18,UC Sampdoria,11
11,19,Hellas Verona FC,11
11,20,US Cremonese,11
12,1,SSC Napoli,12
12,2,Atalanta BC,12
12,3,AC Milan,12
12,4,AS Roma,12
12,5,SS Lazio,12
12,6,FC Internazionale Milano,12
12,7,Juventus FC,12
12,8,Udinese Calcio,12
12,9,Torino FC,12
12,10,US Salernitana 1919,12
12,11,US Sassuolo Calcio,12
12,12,Bologna FC 1909,12
12,13,ACF Fiorentina,12
12,14,Empoli FC,12
12,15,AC Monza,12
12,16,Spezia Calcio,12
12,17,US Lecce,12
12,18,UC Sampdoria,12
12,19,Hellas Verona FC,12
12,20,US Cremonese,12
13,1,SSC Napoli,13
13,2,AC Milan,13
13,3,SS Lazio,13
13,4,Atalanta BC,13
13,5,Juventus FC,13
13,6,AS Roma,13
13,7,FC Internazionale Milano,13
13,8,Udinese Calcio,13
13,9,US Salernitana 1919,13
13,10,Torino FC,13
13,11,ACF Fiorentina,13
13,12,Bologna FC 1909,13
13,13,US Sassuolo Calcio,13
13,14,Empoli FC,13
13,15,AC Monza,13
13,16,US Lecce,13
13,17,Spezia Calcio,13
13,18,US Cremonese,13
13,19,UC Sampdoria,13
13,20,Hellas Verona FC,13
14,1,SSC Napoli,14
14,2,SS Lazio,14
14,3,AC Milan,14
14,4,Juventus FC,14
14,5,FC Internazionale Milano,14
14,6,Atalanta BC,14
14,7,AS Roma,14
14,8,Udinese Calcio,14
14,9,Torino FC,14
14,10,ACF Fiorentina,14
14,11,US Salernitana 1919,14
14,12,US Sassuolo Calcio,14
14,13,Bologna FC 1909,14
14,14,Empoli FC,14
14,15,AC Monza,14
14,16,US Lecce,14
14,17,Spezia Calcio,14
14,18,US Cremonese,14
14,19,UC Sampdoria,14
14,20,Hellas Verona FC,14
15,1,SSC Napoli,15
15,2,AC Milan,15
15,3,Juventus FC,15
15,4,SS Lazio,15
15,5,FC Internazionale Milano,15
15,6,Atalanta BC,15
15,7,AS Roma,15
15,8,Udinese Calcio,15
15,9,Torino FC,15
