player,team,goals
Cristiano Ronaldo,Juventus FC,29
Romelu Lukaku,FC Internazionale Milano,24
Luis Muriel,Atalanta BC,22
Dušan Vlahović,ACF Fiorentina,21
Ciro Immobile,SS Lazio,20
Simeon Nwankwo,FC Crotone,20
Lorenzo Insigne,SSC Napoli,19
Lautaro Martínez,FC Internazionale Milano,17
Domenico Berardi,US Sassuolo Calcio,17
João Pedro Galvão,Cagliari Calcio,16
