player,team,goals
Kylian Mbappé,Paris Saint-Germain FC,27
Alexandre Lacazette,Olympique Lyonnais,19
Jonathan David,Lille OSC,19
Pierre-Emerick Aubameyang,Olympique de Marseille,17
Wissam Ben Yedder,AS Monaco FC,16
Thijs Dallinga,Toulouse FC,14
Georges Mikautadze,FC Metz,13
Terem Moffi,OGC Nice,11
Gonçalo Ramos,Paris Saint-Germain FC,11
Arnaud Kalimuendo,Stade Rennais FC 1901,10
