player,team,goals
Lautaro Martínez,FC Internazionale Milano,24
Dušan Vlahović,Juventus FC,16
Victor Osimhen,SSC Napoli,15
Olivier Giroud,AC Milan,15
Albert Guðmundsson,Genoa CFC,14
Duván Zapata,Torino FC,13
Marcus Thuram-Ulien,FC Internazionale Milano,13
Hakan Çalhanoğlu,FC Internazionale Milano,13
Paulo Dybala,AS Roma,13
Romelu Lukaku,AS Roma,13
