player,team,goals
Robert Lewandowski,FC Bayern München,35
Patrik Schick,Bayer 04 Leverkusen,24
Erling Haaland,Borussia Dortmund,22
Anthony Modeste,1. FC Köln,20
Christopher Nkunku,RB Leipzig,20
Taiwo Awoniyi,1. FC Union Berlin,15
Serge Gnabry,FC Bayern München,14
Moussa Diaby,Bayer 04 Leverkusen,13
Jonas Hofmann,Borussia Mönchengladbach,12
Max Kruse,VfL Wolfsburg,12
