matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Real Madrid CF,1,3,4,1,3
1,2,Sevilla FC,1,3,3,0,3
1,3,FC Barcelona,1,3,4,2,2
1,4,Club Atlético de Madrid,1,3,2,1,1
1,5,Valencia CF,1,3,1,0,1
1,6,Cádiz CF,1,1,1,1,0
1,7,Levante UD,1,1,1,1,0
1,8,RCD Mallorca,1,1,1,1,0
1,9,Real Betis Balompié,1,1,1,1,0
1,10,CA Osasuna,1,1,0,0,0
1,11,RCD Espanyol de Barcelona,1,1,0,0,0
1,12,Villarreal CF,1,1,0,0,0
1,13,Granada CF,1,1,0,0,0
1,14,Elche CF,1,1,0,0,0
1,15,Athletic Club,1,1,0,0,0
1,16,RC Celta de Vigo,1,0,1,2,-1
1,17,Getafe CF,1,0,0,1,-1
1,18,Real Sociedad de Fútbol,1,0,2,4,-2
1,19,Deportivo Alavés,1,0,1,4,-3
1,20,Rayo Vallecano de Madrid,1,0,0,3,-3
1,1,Sevilla FC,1,3,3,0,3
1,2,FC Barcelona,1,3,4,2,2
1,3,Valencia CF,1,3,1,0,1
1,4,Cádiz CF,1,1,1,1,0
1,5,RCD Mallorca,1,1,1,1,0
1,6,CA Osasuna,1,1,0,0,0
1,7,Villarreal CF,1,1,0,0,0
1,8,Elche CF,1,1,0,0,0
1,19,RC Celta de Vigo,1,0,1,2,-1
1,20,Deportivo Alavés,1,0,1,4,-3
1,1,Real Madrid CF,1,3,4,1,3
1,2,Club Atlético de Madrid,1,3,2,1,1
1,3,Levante UD,1,1,1,1,0
1,4,Real Betis Balompié,1,1,1,1,0
1,5,RCD Espanyol de Barcelona,1,1,0,0,0
1,6,Granada CF,1,1,0,0,0
1,7,Athletic Club,1,1,0,0,0
1,18,Getafe CF,1,0,0,1,-1
1,19,Real Sociedad de Fútbol,1,0,2,4,-2
1,20,Rayo Vallecano de Madrid,1,0,0,3,-3
2,1,Sevilla FC,2,6,4,0,4
2,2,Club Atlético de Madrid,2,6,3,1,2
2,3,Real Madrid CF,2,4,7,4,3
2,4,FC Barcelona,2,4,5,3,2
2,5,Valencia CF,2,4,2,1,1
2,6,RCD Mallorca,2,4,2,1,1
2,7,Real Sociedad de Fútbol,2,3,3,4,-1
2,8,Levante UD,2,2,4,4,0
2,9,Cádiz CF,2,2,2,2,0
2,10,Real Betis Balompié,2,2,2,2,0
2,11,Granada CF,2,2,1,1,0
2,12,Athletic Club,2,2,1,1,0
2,13,CA Osasuna,2,2,0,0,0
2,14,RCD Espanyol de Barcelona,2,2,0,0,0
2,15,Villarreal CF,2,2,0,0,0
2,16,RC Celta de Vigo,2,1,1,2,-1
2,17,Elche CF,2,1,0,1,-1
2,18,Getafe CF,2,0,0,2,-2
2,19,Deportivo Alavés,2,0,1,5,-4
2,20,Rayo Vallecano de Madrid,2,0,0,4,-4
2,6,CA Osasuna,2,2,0,0,0
2,20,Deportivo Alavés,2,0,1,5,-4
2,1,Real Madrid CF,2,4,7,4,3
2,20,Rayo Vallecano de Madrid,2,0,0,4,-4
3,1,Real Madrid CF,3,7,8,4,4
3,2,Valencia CF,3,7,5,1,4
3,3,Sevilla FC,3,7,5,1,4
3,4,FC Barcelona,3,7,7,4,3
3,5,Club Atlético de Madrid,3,7,5,3,2
3,6,RCD Mallorca,3,7,3,1,2
3,7,Real Sociedad de Fútbol,3,6,4,4,0
3,8,CA Osasuna,3,5,3,2,1
3,9,Athletic Club,3,5,2,1,1
3,10,Rayo Vallecano de Madrid,3,3,4,4,0
3,11,Villarreal CF,3,3,2,2,0
3,12,Cádiz CF,3,2,4,5,-1
3,13,Levante UD,3,2,4,5,-1
3,14,Real Betis Balompié,3,2,2,3,-1
3,15,Elche CF,3,2,1,2,-1
3,16,RCD Espanyol de Barcelona,3,2,0,1,-1
3,17,Granada CF,3,2,1,5,-4
3,18,RC Celta de Vigo,3,1,1,3,-2
3,19,Getafe CF,3,0,1,4,-3
3,20,Deportivo Alavés,3,0,1,8,-7
3,1,Real Madrid CF,3,7,8,4,4
4,1,Real Madrid CF,4,10,13,6,7
4,2,Valencia CF,4,10,9,2,7
4,3,Club Atlético de Madrid,4,10,7,4,3
4,4,Real Sociedad de Fútbol,4,9,6,4,2
4,5,Sevilla FC,4,8,6,2,4
4,6,FC Barcelona,4,8,8,5,3
4,7,Athletic Club,4,8,4,1,3
4,8,RCD Mallorca,4,7,3,3,0
4,9,Villarreal CF,4,6,7,4,3
4,10,Real Betis Balompié,4,5,4,4,0
4,11,Elche CF,4,5,2,2,0
4,12,CA Osasuna,4,5,4,6,-2
4,13,Rayo Vallecano de Madrid,4,4,5,5,0
4,14,Levante UD,4,3,5,6,-1
4,15,RCD Espanyol de Barcelona,4,2,1,3,-2
4,16,Cádiz CF,4,2,4,7,-3
4,17,Granada CF,4,2,2,7,-5
4,18,RC Celta de Vigo,4,1,3,8,-5
4,19,Getafe CF,4,0,1,5,-4
4,20,Deportivo Alavés,4,0,3,13,-10
5,1,Real Madrid CF,5,13,15,7,8
5,2,Club Atlético de Madrid,5,11,7,4,3
5,3,Valencia CF,5,10,10,4,6
5,4,Real Sociedad de Fútbol,5,10,6,4,2
5,5,Sevilla FC,5,9,6,2,4
5,6,FC Barcelona,5,9,9,6,3
5,7,Athletic Club,5,9,4,1,3
5,8,CA Osasuna,5,8,6,6,0
5,9,RCD Mallorca,5,8,3,3,0
5,10,Rayo Vallecano de Madrid,5,7,8,5,3
5,11,Villarreal CF,5,7,7,4,3
5,12,Real Betis Balompié,5,6,6,6,0
5,13,Elche CF,5,6,3,3,0
5,14,Cádiz CF,5,5,6,8,-2
5,15,Levante UD,5,4,6,7,-1
5,16,RCD Espanyol de Barcelona,5,3,3,5,-2
5,17,Granada CF,5,3,3,8,-5
5,18,RC Celta de Vigo,5,1,4,10,-6
5,19,Getafe CF,5,0,1,8,-7
5,20,Deportivo Alavés,5,0,3,15,-12
6,1,Real Madrid CF,6,16,21,8,13
6,2,Club Atlético de Madrid,6,14,9,5,4
6,3,Real Sociedad de Fútbol,6,13,9,6,3
6,4,Sevilla FC,6,12,9,3,6
6,5,Villarreal CF,6,10,11,5,6
6,6,Valencia CF,6,10,11,7,4
6,7,Rayo Vallecano de Madrid,6,10,10,6,4
6,8,FC Barcelona,6,10,9,6,3
6,9,Real Betis Balompié,6,9,9,7,2
6,10,Athletic Club,6,9,5,3,2
6,11,CA Osasuna,6,8,7,9,-2
6,12,RCD Mallorca,6,8,4,9,-5
6,13,RCD Espanyol de Barcelona,6,6,4,5,-1
6,14,Cádiz CF,6,6,6,8,-2
6,15,Elche CF,6,6,4,7,-3
6,16,Levante UD,6,4,6,9,-3
6,17,RC Celta de Vigo,6,4,6,10,-4
6,18,Granada CF,6,3,5,11,-6
6,19,Getafe CF,6,0,2,10,-8
6,20,Deportivo Alavés,6,0,3,16,-13
7,1,Real Madrid CF,7,17,21,8,13
7,2,Real Sociedad de Fútbol,7,16,10,6,4
7,3,Sevilla FC,7,15,11,3,8
7,4,Club Atlético de Madrid,7,14,9,6,3
7,5,Rayo Vallecano de Madrid,7,13,13,7,6
7,6,FC Barcelona,7,13,12,6,6
7,7,Real Betis Balompié,7,12,11,7,4
7,8,Villarreal CF,7,11,11,5,6
7,9,Valencia CF,7,11,12,8,4
7,10,CA Osasuna,7,11,10,11,-1
7,11,Athletic Club,7,10,6,4,2
7,12,RCD Mallorca,7,8,6,12,-6
7,13,RC Celta de Vigo,7,7,7,10,-3
7,14,RCD Espanyol de Barcelona,7,6,4,7,-3
7,15,Cádiz CF,7,6,7,11,-4
7,16,Elche CF,7,6,4,8,-4
7,17,Levante UD,7,4,6,12,-6
7,18,Granada CF,7,3,5,12,-7
7,19,Deportivo Alavés,7,3,4,16,-12
7,20,Getafe CF,7,0,2,12,-10
8,1,Real Madrid CF,8,17,22,10,12
8,2,Club Atlético de Madrid,8,17,11,6,5
8,3,Real Sociedad de Fútbol,8,17,11,7,4
8,4,Sevilla FC,8,15,11,4,7
8,5,Villarreal CF,8,14,13,5,8
8,6,CA Osasuna,8,14,11,11,0
8,7,Rayo Vallecano de Madrid,8,13,13,8,5
8,8,FC Barcelona,8,13,12,8,4
8,9,Athletic Club,8,13,7,4,3
8,10,Valencia CF,8,12,12,8,4
8,11,Real Betis Balompié,8,12,11,9,2
8,12,RCD Mallorca,8,11,7,12,-5
8,13,RCD Espanyol de Barcelona,8,9,6,8,-2
8,14,Elche CF,8,9,5,8,-3
8,15,Cádiz CF,8,7,7,11,-4
8,16,RC Celta de Vigo,8,7,7,11,-4
8,17,Granada CF,8,6,6,12,-6
8,18,Levante UD,8,4,6,13,-7
8,19,Deportivo Alavés,8,3,4,17,-13
8,20,Getafe CF,8,1,3,13,-10
9,1,Real Madrid CF,9,20,23,10,13
9,2,Real Sociedad de Fútbol,9,20,12,7,5
9,3,Sevilla FC,9,18,12,4,8
9,4,Club Atlético de Madrid,9,17,12,8,4
9,5,CA Osasuna,9,17,13,12,1
9,6,FC Barcelona,9,16,15,9,6
9,7,Rayo Vallecano de Madrid,9,16,15,9,6
9,8,Real Betis Balompié,9,15,12,9,3
9,9,Villarreal CF,9,14,14,7,7
9,10,Athletic Club,9,13,7,5,2
9,11,Valencia CF,9,12,13,11,2
9,12,RCD Espanyol de Barcelona,9,12,8,8,0
9,13,RCD Mallorca,9,11,7,13,-6
9,14,Elche CF,9,9,6,10,-4
9,15,Granada CF,9,9,8,13,-5
9,16,RC Celta de Vigo,9,7,7,12,-5
9,17,Cádiz CF,9,7,7,13,-6
9,18,Levante UD,9,5,6,13,-7
9,19,Deportivo Alavés,9,3,4,18,-14
9,20,Getafe CF,9,2,3,13,-10
10,1,Real Madrid CF,10,23,25,11,14
10,2,Sevilla FC,10,21,17,7,10
10,3,Real Sociedad de Fútbol,10,21,14,9,5
10,4,Real Betis Balompié,10,18,15,11,4
10,5,Club Atlético de Madrid,10,18,14,10,4
10,6,CA Osasuna,10,18,14,13,1
10,7,Rayo Vallecano de Madrid,10,16,17,12,5
10,8,FC Barcelona,10,16,16,11,5
10,9,Athletic Club,10,16,9,6,3
10,10,Villarreal CF,10,14,15,9,6
10,11,Valencia CF,10,13,15,13,2
10,12,RCD Espanyol de Barcelona,10,13,10,10,0
10,13,RCD Mallorca,10,12,9,15,-6
10,14,RC Celta de Vigo,10,10,10,12,-2
10,15,Elche CF,10,10,8,12,-4
10,16,Granada CF,10,10,9,14,-5
